"status.codeValue","orgIdNumber","name","classificationCode.codeValue","address.sequenceNo","address.addressType","address.mailingIndex","address.header","address.organizationName","address.street1","address.street2","city","state","address.zip","dfdsfds","dioProvince","orgIdNumber","parent classificationCodeName","parentId"
"Active",16198,"Garrison Memorial Hospital","Hospital",1,"Phys/Mail",true,,,"407 3rd Ave., S.E.",,"Garrison","NORTH DAKOTA","58540","USA",,213008,"Placement Header","Garrison"
"Active",16200,"Mercy Medical Center - Affiliate of Catholic Health Initiatives","Hospital",1,"Phys/Mail",true,,,"1301 15th Ave. W.",,"Williston","NORTH DAKOTA","58801","USA",,213009,"Placement Header","Williston"
"Active",16204,"Benedictine Living Communities, Inc.","Hospital",1,"Phys/Mail",true,,,"851 Fourth Ave. E.",,"Dickinson","NORTH DAKOTA","58601","USA",,213010,"Placement Header","Dickinson"
"Active",20328,"Franciscan Hospital for Children","Hospital",2,"Phys/Mail",true,,,"30 Warren St.",,"Brighton","MASSACHUSETTS","02135","USA",,213352,"Placement Header","Boston"
"Active",20333,"Youville Hospital & Rehabilitation Center, Inc.","Hospital",1,"Phys/Mail",true,,,"1575 Cambridge St.",,"Cambridge","MASSACHUSETTS","02138-4398","USA",,480714,"Placement Header","Tewksbury"
"Active",14569,"Saint John Paul II Center","Special Care Facility",1,"Phys/Mail",true,,,"33 Lincoln Ave.",,"Danbury","CONNECTICUT","06810","USA",,386693,"Placement Header","Danbury"
"Active",15522,"Contemplative Outreach Birmingham","Special Care Facility",3,"Phys/Mail",true,,,"3416 River Tree Ln.",,"Birmingham","ALABAMA","35223","USA",,212938,"Placement Header","Birmingham"
"Active",16208,"Benedictine Living Communities, Inc.","Special Care Facility",1,"Phys/Mail",true,,,"830 2nd Ave. E.",,"Dickinson","NORTH DAKOTA","58601","USA",,213010,"Placement Header","Dickinson"
"Active",16211,"Home On The Range","Special Care Facility",1,"Phys/Mail",true,,,"16351 I-94",,"Sentinel Butte","NORTH DAKOTA","58654-9500","USA",,213012,"Placement Header","Sentinel Butte"
"Active",20207,"St. Ann's Home Special Needs School","Special Care Facility",1,"Phys/Mail",true,,,"100 A. Haverhill St.",,"Methuen","MASSACHUSETTS","01844","USA",,213330,"Placement Header","Methuen"
"Active",20237,"Nazareth Residence for Mothers and Children","Special Care Facility",2,"Phys/Mail",true,,,"91 Regent St.",,"Boston","MASSACHUSETTS","02119","USA",,213337,"Placement Header","Boston"
"Active",20241,"St. Ann's Home, Inc.","Special Care Facility",1,"Phys/Mail",true,,,"100A Haverhill St.",,"Methuen","MASSACHUSETTS","01844","USA",,213338,"Placement Header","Methuen"
"Active",20245,"Residential Treatment Center","Special Care Facility",1,"Dummy",,,,,,"","",,"",,20241,"Special Care Facility","St. Ann's Home, Inc."
"Active",13297,"Poor Clare Monastery of Our Lady of Mercy","Convent",1,"Phys/Mail",true,,,"300 N. 60th St.",,"Belleville","ILLINOIS","62223","USA",,212751,"Placement Header","Belleville"
"Active",13301,"Hospital Sisters of The Third Order of St. Francis","Convent",1,"Phys/Mail",true,,,"1000 Royal Heights Rd., Apt. 58",,"Belleville","ILLINOIS","62226","USA",,212751,"Placement Header","Belleville"
"Active",13302,"Mary Katherine Convent, Poor Handmaids of Jesus Christ","Convent",1,"Phys/Mail",true,,,"725 22nd St.",,"Cairo","ILLINOIS","62914","USA",,212752,"Placement Header","Cairo"
"Active",13304,"Adorers of the Blood of Christ","Convent",1,"Phys/Mail",true,,,"2 Pioneer Ln. - Ruma",,"Red Bud","ILLINOIS","62278","USA",,212754,"Placement Header","Ruma"
"Active",13563,,"Convent",1,"Dummy",,,,,,"","",,"",,13554,"Parish","St. Mary"
"Active",13673,"Congregation of Notre Dame","Convent",1,"Phys/Mail",,,,"105 Biro St.",,"Fairfield","CONNECTICUT","06825-5418","USA",,13667,"Parish","St. Emery"
"Active",13796,,"Convent",1,"Phys/Mail",,,,"14 Chestnut St.",,"Norwalk","CONNECTICUT","06854","USA",,13787,"Parish","St. Joseph"
"Active",13879,"Apostles of the Sacred Heart of Jesus","Convent",1,"Phys/Mail",,,,"420 Coram Ave.",,"Shelton","CONNECTICUT","06484","USA",,13873,"Parish","St. Joseph"
"Active",13979,,"Convent",1,"Phys/Mail",,,,"1216 Shippan Ave.",,"Stamford","CONNECTICUT","06902","USA",,13972,"Parish","Our Lady Star of the Sea"
"Active",13999,,"Convent",1,"Phys/Mail",,,,"2 Mary Ave.",,"Stratford","CONNECTICUT","06614","USA",,13990,"Parish","Holy Name of Jesus"
"Active",14074,,"Convent",1,"Phys/Mail",,,,,,"Trumbull","CONNECTICUT","06611","USA",,14060,"Parish","St. Theresa"
"Active",14719,"Convent of Mary Immaculate, Missionary Sisters of the Blessed Sacrament and Mary Immaculate.","Convent",1,"Phys/Mail",true,,,"1111 Wordin Ave.",,"Bridgeport","CONNECTICUT","06605","USA",,212845,"Placement Header","Bridgeport"
"Active",14721,"Daughters of Charity of the Most Precious Blood Convent","Convent",1,"Phys/Mail",true,,,"1482 North Ave.",,"Bridgeport","CONNECTICUT","06604","USA",,212845,"Placement Header","Bridgeport"
"Active",14723,"Sisters of the Company of the Savior","Convent",1,"Phys/Mail",true,,,"820 Clinton Ave.",,"Bridgeport","CONNECTICUT","06604","USA",,212845,"Placement Header","Bridgeport"
"Active",14725,"Daughters of the Holy Spirit","Convent",1,"Phys/Mail",true,,,"66 Nash Ln.",,"Bridgeport","CONNECTICUT","06605","USA",,212845,"Placement Header","Bridgeport"
"Active",14727,"Sisters of the Holy Family of Nazareth, C.S.F.N.","Convent",1,"Phys/Mail",true,,,"1428 Monroe Tpke.",,"Monroe","CONNECTICUT","06468","USA",,212847,"Placement Header","Monroe"
"Active",14730,"Regional House of Sisters of St. Thomas of Villanova","Convent",1,"Phys/Mail",true,,,"76 W. Rocks Rd.",,"Norwalk","CONNECTICUT","06851","USA",,212848,"Placement Header","Norwalk"
"Active",14733,"Provincial House, Congregation De Notre Dame, Blessed Sacrament Province, Inc.","Convent",1,"Phys/Mail",true,,,"30 Highfield Rd.",,"Wilton","CONNECTICUT","06897","USA",,212851,"Placement Header","Wilton"
"Active",14737,"Sisters Minor of Mary Immaculate","Convent",1,"Phys/Mail",true,,,"305 Washington Blvd.",,"Stamford","CONNECTICUT","06902","USA",,212850,"Placement Header","Stamford"
"Active",14737,"Sisters Minor of Mary Immaculate","Convent",2,"Sales",false,,,"305 Washington Blvd",,"Stamford","CONNECTICUT","06902","USA",,212850,"Placement Header","Stamford"
"Active",14742,"Our Lady of Grace Convent","Convent",1,"Phys/Mail",true,,,"635 Glenbrook Rd.",,"Stamford","CONNECTICUT","06906","USA",,212850,"Placement Header","Stamford"
"Active",14744,"The Bernardine Sisters of the Third Order of St. Francis of Stamford, CT, Inc.","Convent",1,"Phys/Mail",true,,"Heart of Mary Convent","163 Sky Meadow Dr.",,"Stamford","CONNECTICUT","06903-3414","USA",,212850,"Placement Header","Stamford"
"Active",14748,"Villa Divino Amore Convent, Little Workers of the Sacred Hearts of Jesus & Mary","Convent",1,"Phys/Mail",true,,,"117 Hope St.",,"Stamford","CONNECTICUT","06906","USA",,212850,"Placement Header","Stamford"
"Active",14750,"School Sisters of Notre Dame","Convent",1,"Phys/Mail",true,,,"345 Belden Hill Rd.",,"Wilton","CONNECTICUT","06897","USA",,212851,"Placement Header","Wilton"
"Active",14753,"Lourdes Health Care Center, Inc.","Convent",1,"Phys/Mail",true,,,"345 Belden Hill Rd.",,"Wilton","CONNECTICUT","06897-3898","USA",,212851,"Placement Header","Wilton"
"Active",14756,"Missionaries of Charity","Convent",1,"Phys/Mail",true,,,"599 Beechwood Ave.",,"Bridgeport","CONNECTICUT","06604","USA",,212845,"Placement Header","Bridgeport"
"Active",14769,"Convent of St. Birgitta","Convent",1,"Phys/Mail",true,,,"4 Rukenhage Rd.",,"Darien","CONNECTICUT","06820","USA",,212854,"Placement Header","Darien"
"Active",14769,"Convent of St. Birgitta","Convent",2,"Sales",false,,,"4 Runkenhage Rd",,"Darien","CONNECTICUT","06820","USA",,212854,"Placement Header","Darien"
"Active",15428,"Our Lady of the Angels Monastery, Inc.","Convent",1,"Phys/Mail",true,,,"3222 County Rd. 548",,"Hanceville","ALABAMA","35077","USA",,212920,"Placement Header","Hanceville"
"Active",15430,"Sister Servants of the Eternal Word","Convent",1,"Phys/Mail",true,,,"3721 Belmont Rd.",,"Irondale","ALABAMA","35210","USA",,212918,"Placement Header","Irondale"
"Active",15430,"Sister Servants of the Eternal Word","Convent",2,"Sales",false,,,"3721 Belmont Rd",,"Birmingham","ALABAMA","35210","USA",,212918,"Placement Header","Irondale"
"Active",15432,"Sacred Heart Monastery","Convent",1,"Phys/Mail",true,,,"916 Convent Rd.",,"Cullman","ALABAMA","35055","USA",,212919,"Placement Header","Cullman"
"Active",16229,"Annunciation Monastery","Convent",1,"Phys/Mail",true,,,"7520 University Dr.",,"Bismarck","NORTH DAKOTA","58504-9653","USA",,213014,"Placement Header","Bismarck"
"Active",16232,"Sacred Heart Monastery","Convent",1,"Phys/Mail",true,,,"8969 Hwy. 10","P.O. Box 364","Richardton","NORTH DAKOTA","58652","USA",,213015,"Placement Header","Richardton"
"Active",16712,"Sisters of Mercy Convent","Convent",1,"Phys/Mail",true,,,"11454 Spring Ln.",,"Biloxi","MISSISSIPPI","39532","USA",,213065,"Placement Header","Biloxi"
"Active",16717,"Presentation Sisters","Convent",1,"Phys/Mail",true,,,"18091 Commission Rd.",,"Long Beach","MISSISSIPPI","39560","USA",,213068,"Placement Header","Long Beach"
"Active",17017,,"Convent",1,"Phys/Mail",,,,"666 Dorchester Ave.",,"Boston","MASSACHUSETTS","02127","USA",,17010,"Parish","Our Lady of Czestochowa"
"Active",18019,,"Convent",1,"Phys/Mail",,,,"43 Green St.",,"Lynn","MASSACHUSETTS","01902","USA",,18015,"Parish","St. Joseph"
"Active",13261,"Missionary Oblates of Mary Immaculate - St. Henry's Oblate Residence","Monastery",1,"Phys/Mail",true,,,"200 N. 60th St.",,"Belleville","ILLINOIS","62223","USA",,212750,"Placement Header","Belleville"
"Active",13282,"Shrine of Our Lady of the Snows","Monastery",1,"Phys/Mail",true,,,"442 S. DeMazenod Dr.",,"Belleville","ILLINOIS","62223-1023","USA",,212750,"Placement Header","Belleville"
"Active",13408,"St. Benedict the Black Friary","Monastery",1,"Phys/Mail",true,,,"404 N. 14th St.",,"East Saint Louis","ILLINOIS","62201","USA",,281902,"Placement Header","East Saint Louis"
"Active",14654,"The Fairfield Jesuit Community-Fairfield University","Monastery",1,"Phys/Mail",true,,,"1073 N. Benson Rd.",,"Fairfield","CONNECTICUT","06824-5195","USA",,212843,"Placement Header","Fairfield"
"Active",14695,"The Catherine Dennis Keefe Queen of the Clergy Retired Priests' Residence","Monastery",1,"Phys/Mail",true,,,"274 Strawberry Hill Ave.",,"Stamford","CONNECTICUT","06902","USA",,212844,"Placement Header","Stamford"
"Active",15408,"Franciscan Missionaries of the Eternal Word, A Public Clerical Association of the Christian Faithful","Monastery",1,"Phys/Mail",true,,,"5821 Old Leeds Rd.",,"Irondale","ALABAMA","35210","USA",,212916,"Placement Header","Birmingham"
"Active",15413,"St. Bernard Abbey","Monastery",1,"Phys/Mail",true,,,"1600 St. Bernard Dr., S.E.",,"Cullman","ALABAMA","35055","USA",,212917,"Placement Header","Cullman"
"Active",16621,"St. Augustine's Residence","Monastery",1,"Phys/Mail",true,,,"199 Seminary Dr.",,"Bay St. Louis","MISSISSIPPI","39520","USA",,213063,"Placement Header","Bay St. Louis"
"Active",16681,"Southern Province of St. Augustine - Provincial Offices","Monastery",1,"Phys/Mail",true,,,"199 Seminary Dr.",,"Bay St. Louis","MISSISSIPPI","39520","USA",,213063,"Placement Header","Bay St. Louis"
"Active",16702,"Media Production Center ""In A Word""","Monastery",1,"Phys/Mail",true,,,"199 Seminary Dr.",,"Bay St. Louis","MISSISSIPPI","39520","USA",,213063,"Placement Header","Bay St. Louis"
"Active",16704,"Brothers of the Sacred Heart","Monastery",1,"Phys/Mail",true,,,"114 Bookter St.",,"Bay St. Louis","MISSISSIPPI","39520","USA",,213063,"Placement Header","Bay St. Louis"
"Active",20025,"Our Mother of Good Counsel Monastery","Monastery",1,"Dummy",,,,,,"","",,"",,20016,"College","Merrimack College"
"Active",13254,"Charles and Bertha Hincke Residence for Priests and Sense Residence","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"2620 Lebanon Ave.",,"Belleville","ILLINOIS","62221","USA",,212749,"Placement Header","Belleville"
"Active",13256,"Apartment Community of Our Lady of the Snows","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"726 Community Dr.",,"Belleville","ILLINOIS","62223","USA",,212749,"Placement Header","Belleville"
"Active",14585,"Augustana Homes/Bishop Curtis Homes","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"280 Jewett Ave.",,"Bridgeport","CONNECTICUT","06606","USA",,212832,"Placement Header","Bridgeport"
"Active",14588,"Roncalli Apartments","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"430 Grant St.",,"Bridgeport","CONNECTICUT","06610","USA",,212832,"Placement Header","Bridgeport"
"Active",14591,"Augustana Homes/Bishop Curtis Homes","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"101 Simeon Rd.",,"Bethel","CONNECTICUT","06801","USA",,212833,"Placement Header","Bethel"
"Active",14594,"Augustana Homes/Bishop Curtis Homes - Fairfield","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"1677 Post Rd.",,"Fairfield","CONNECTICUT","06430","USA",,212835,"Placement Header","Fairfield"
"Active",14596,"Augustana Homes of Greenwich/Bishop Curtis Homes","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"1040 E. Putnam Ave.",,"Greenwich","CONNECTICUT","06878","USA",,212836,"Placement Header","Riverside"
"Active",14598,"Augustana Homes/Bishop Curtis Homes - Glenbrook","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"352 Glenbrook Rd.",,"Stamford","CONNECTICUT","06906","USA",,212837,"Placement Header","Stamford"
"Active",14600,"Carmel Ridge","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"6454 Main St.",,"Trumbull","CONNECTICUT","06611","USA",,212838,"Placement Header","Trumbull"
"Active",14607,"Teresian Towers","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"6454 Main St.",,"Trumbull","CONNECTICUT","06611","USA",,212838,"Placement Header","Trumbull"
"Active",14607,"Teresian Towers","Nursing Home/Homes for the Aged",2,"Sales",false,,,"6448 Main St",,"Trumbull","CONNECTICUT","06611","USA",,212838,"Placement Header","Trumbull"
"Active",14609,"Augustana Homes/Bishop Curtis Homes - Danbury","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"88 Main St.",,"Danbury","CONNECTICUT","06810","USA",,212834,"Placement Header","Danbury"
"Active",14611,"Augustana Homes/Bishop Curtis Homes - East Bridgeport","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"264 Union Ave.",,"Bridgeport","CONNECTICUT","06607-1895","USA",,212832,"Placement Header","Bridgeport"
"Active",14614,"Notre Dame Convalescent Home, Inc.","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"76 W. Rocks Rd.",,"Norwalk","CONNECTICUT","06851","USA",,212839,"Placement Header","Norwalk"
"Active",16206,"Benedictine Living Communities, Inc.","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"609 4th Ave., N.E.","","Garrison","NORTH DAKOTA","58540","USA",,213011,"Placement Header","Garrison"
"Active",16215,"Emmaus Place","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"1020 N. 26th St.",,"Bismarck","NORTH DAKOTA","58501","USA",,213013,"Placement Header","Bismarck"
"Active",16224,"Sanford Health St. Vincent's","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"1021 N. 26 St.",,"Bismarck","NORTH DAKOTA","58501-3199","USA",,515755,"Placement Header","Bismarck"
"Active",16226,"Sanford Health Marillac Manor","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"1016 N. 28th St.",,"Bismarck","NORTH DAKOTA","58501","USA",,213013,"Placement Header","Bismarck"
"Active",16661,"Santa Maria Retirement Apartments","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"1788 Medical Park Dr.",,"Biloxi","MISSISSIPPI","39532","USA",,213057,"Placement Header","Biloxi"
"Active",16663,"Notre Dame de la Mer Retirement Apartments","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"292 Hwy. 90",,"Bay St. Louis","MISSISSIPPI","39520","USA",,213058,"Placement Header","Bay St. Louis"
"Active",16665,"Samaritan House","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"642 Jackson Ave.",,"Ocean Springs","MISSISSIPPI","39564","USA",,213060,"Placement Header","Ocean Springs"
"Active",16667,"Villa Maria Retirement Apartments","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"921 Porter Ave.",,"Ocean Springs","MISSISSIPPI","39564","USA",,213060,"Placement Header","Ocean Springs"
"Active",16669,"Gabriel Manor","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"2321 Atkinson Rd.",,"Biloxi","MISSISSIPPI","39531","USA",,213057,"Placement Header","Biloxi"
"Active",16671,"Carlow Manor","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"15195 Barbara Dr.",,"Gulfport","MISSISSIPPI","39503","USA",,213059,"Placement Header","Gulfport"
"Active",16673,"Caritas Manor","Nursing Home/Homes for the Aged",1,"Phys/Mail",true,,,"145 W. 10th Ave.",,"Petal","MISSISSIPPI","39465","USA",,213061,"Placement Header","Petal"
"Active",13315,"The Newman Catholic Student Center","Campus Ministry/Newman Center",1,"Phys/Mail",true,,,"Southern Illinois University, 715 S. Washington",,"Carbondale","ILLINOIS","62901","USA",,212756,"Placement Header","Carbondale"
"Active",13315,"The Newman Catholic Student Center","Campus Ministry/Newman Center",2,"Sales",false,,,"715 S Washington",,"Carbondale","ILLINOIS","62901","USA",,212756,"Placement Header","Carbondale"
"Active",14785,"Fairfield University","Campus Ministry/Newman Center",1,"Phys/Mail",true,,,"1073 N. Benson Rd.",,"Fairfield","CONNECTICUT","06824-5195","USA",,212858,"Placement Header","Fairfield"
"Active",14785,"Fairfield University","Campus Ministry/Newman Center",2,"Sales",false,,,"1073 N Benson Rd",,"Fairfield","CONNECTICUT","06824-5171","USA",,212858,"Placement Header","Fairfield"
"Active",15463,"The Chapel of St. Stephen the Martyr Campus Center","Campus Ministry/Newman Center",1,"Phys/Mail",true,,,"1515 12th Ave. S.",,"Birmingham","ALABAMA","35205","USA",,212932,"Placement Header","Birmingham"
"Active",15465,"University of North Alabama","Campus Ministry/Newman Center",1,"Phys/Mail",true,,,"St. Joseph's Church, 1111 E. College St.",,"Florence","ALABAMA","35630","USA",,212933,"Placement Header","Florence"
"Active",15465,"University of North Alabama","Campus Ministry/Newman Center",2,"Sales",false,,,"1111 E College St",,"Florence","ALABAMA","35630","USA",,212933,"Placement Header","Florence"
"Active",15466,"Jacksonville State University","Campus Ministry/Newman Center",1,"Phys/Mail",true,,,"St. Charles Church, 308 Seventh St., N.E.",,"Jacksonville","ALABAMA","36265","USA",,212934,"Placement Header","Jacksonville"
"Active",15466,"Jacksonville State University","Campus Ministry/Newman Center",2,"Sales",false,,,"308 Seventh St NE",,"Jacksonville","ALABAMA","36265","USA",,212934,"Placement Header","Jacksonville"
"Active",15468,"University of Montevallo Catholic Campus Ministry","Campus Ministry/Newman Center",1,"Phys/Mail",true,,,"St. Thomas the Apostle Catholic Campus Ministry, 80 St. Thomas Way",,"Montevallo","ALABAMA","35115","USA",,212935,"Placement Header","Montevallo"
"Active",15468,"University of Montevallo Catholic Campus Ministry","Campus Ministry/Newman Center",2,"Sales",false,,,"80 St. Thomas Way",,"Montevallo","ALABAMA","35115","USA",,212935,"Placement Header","Montevallo"
"Active",15471,"Talladega College Catholic Campus Ministry","Campus Ministry/Newman Center",1,"Phys/Mail",true,,"St. Francis of Assisi",,"P.O. Box 1142","Talladega","ALABAMA","35160","USA",,212936,"Placement Header","Talladega"
"Active",15473,"Campus Ministry Office - University of Alabama","Campus Ministry/Newman Center",1,"Phys/Mail",true,,"St. Francis University Parish","811 Fifth Ave.",,"Tuscaloosa","ALABAMA","35401","USA",,212937,"Placement Header","Tuscaloosa"
"Active",15473,"Campus Ministry Office - University of Alabama","Campus Ministry/Newman Center",2,"Sales",false,,,"811 5th Ave",,"Tuscaloosa","ALABAMA","35401","USA",,212937,"Placement Header","Tuscaloosa"
"Active",16723,"University of Southern Mississippi","Campus Ministry/Newman Center",2,"Sales",false,,,"3117 W Fourth St",,"Hattiesburg","MISSISSIPPI","39401","USA",,213070,"Placement Header","Hattiesburg"
"Active",16723,"University of Southern Mississippi","Campus Ministry/Newman Center",3,"Phys/Mail",true,,,"St. Thomas Aquinas Catholic Church, 3117 W. Fourth St.",,"Hattiesburg","MISSISSIPPI","39401","USA",,213070,"Placement Header","Hattiesburg"
"Active",14491,"Catholic Charities","Catholic Charity",1,"Phys/Mail",true,,,"Catholic Center, 238 Jewett Ave.",,"Bridgeport","CONNECTICUT","06606-2892","USA",,212824,"Placement Header","Bridgeport"
"Active",14491,"Catholic Charities","Catholic Charity",2,"Sales",false,,,"238 Jewett Ave",,"Bridgeport","CONNECTICUT","06606-2892","USA",,212824,"Placement Header","Bridgeport"
"Active",14493,"Family Directions","Catholic Charity",1,"Phys/Mail",,,,"238 Jewett Ave.",,"Bridgeport","CONNECTICUT","06606-2892","USA",,14491,"Catholic Charity","Catholic Charities"
"Active",14494,"Catholic Charities,  Bridgeport","Catholic Charity",1,"Phys/Mail",,,,"238 Jewett Ave.",,"Bridgeport","CONNECTICUT","06606-2892","USA",,14491,"Catholic Charity","Catholic Charities"
"Active",14496,"Catholic Charities, Danbury","Catholic Charity",1,"Phys/Mail",,,,"405 Main St., Ste. 503",,"Danbury","CONNECTICUT","06810","USA",,14491,"Catholic Charity","Catholic Charities"
"Active",14498,"Catholic Charities, Norwalk","Catholic Charity",1,"Phys/Mail",,,,"120 East Ave.",,"Norwalk","CONNECTICUT","06851","USA",,14491,"Catholic Charity","Catholic Charities"
"Active",14510,"Thomas Merton Center","Catholic Charity",1,"Phys/Mail",,,,"43 Madison Ave.",,"Bridgeport","CONNECTICUT","06604","USA",,14491,"Catholic Charity","Catholic Charities"
"Active",14515,"St. Stephen's Emergency Food Center","Catholic Charity",1,"Phys/Mail",,,,"43 Madison Ave.",,"Bridgeport","CONNECTICUT","06604","USA",,14491,"Catholic Charity","Catholic Charities"
"Active",14516,"NEW HEIGHTS","Catholic Charity",1,"Phys/Mail",,,,"66 West St.",,"Danbury","CONNECTICUT","06810","USA",,14491,"Catholic Charity","Catholic Charities"
"Active",14516,"NEW HEIGHTS","Catholic Charity",2,"Sales",,,,"66 West St",,"Danbury","CONNECTICUT","06810","USA",,14491,"Catholic Charity","Catholic Charities"
"Active",14518,"Case Management Program","Catholic Charity",1,"Phys/Mail",,,,"24 Grassy Plain St.",,"Bethel","CONNECTICUT","06801","USA",,14516,"Catholic Charity","NEW HEIGHTS"
"Active",14520,"Homeless Outreach Team","Catholic Charity",1,"Phys/Mail",,,,"24 Grassy Plain St.",,"Bethel","CONNECTICUT","06801","USA",,14491,"Catholic Charity","Catholic Charities"
"Active",14522,"Senior Nutrition Program","Catholic Charity",1,"Phys/Mail",,,,"30 Myano Ln., Ste. 12",,"Stamford","CONNECTICUT","06902","USA",,14491,"Catholic Charity","Catholic Charities"
"Active",15435,"Catholic Family Services","Catholic Charity",1,"Phys/Mail",true,,,"1515 12th Ave., S.",,"Birmingham","ALABAMA","35205","USA",,212921,"Placement Header","Birmingham"
"Active",15437,"Catholic Center of Concern","Catholic Charity",1,"Phys/Mail",true,,,"712 Fourth Ct. W.",,"Birmingham","ALABAMA","35204","USA",,212921,"Placement Header","Birmingham"
"Active",15437,"Catholic Center of Concern","Catholic Charity",2,"MA",false,,,,"P.O. Box 12701","Birmingham","ALABAMA","35202","USA",,212921,"Placement Header","Birmingham"
"Active",15439,"All Saints Interfaith Center of Concern","Catholic Charity",1,"Phys/Mail",true,,,"1513 Noble St.",,"Anniston","ALABAMA","36201","USA",,212922,"Placement Header","Anniston"
"Active",15441,"Guadalupan Multicultural Services","Catholic Charity",1,"Phys/Mail",true,,,"331 Boligee St.","P.O. Box 538","Eutaw","ALABAMA","35462","USA",,212923,"Placement Header","Eutaw"
